"Virtual call in constructor or destructor","Finds virtual calls or accesses in a constructor or destructor","warning","Avoid virtual calls in a constructor or destructor.","/Form1.cs","61","13","61","21"
"Generic catch clause","Catching all exceptions with a generic catch clause may be overly broad, which can make errors harder to diagnose.","recommendation","Generic catch clause.","/Form1.cs","468","13","473","13"
"Generic catch clause","Catching all exceptions with a generic catch clause may be overly broad, which can make errors harder to diagnose.","recommendation","Generic catch clause.","/Form1.cs","495","13","498","13"
"Generic catch clause","Catching all exceptions with a generic catch clause may be overly broad, which can make errors harder to diagnose.","recommendation","Generic catch clause.","/Form1.cs","553","13","556","13"
"Generic catch clause","Catching all exceptions with a generic catch clause may be overly broad, which can make errors harder to diagnose.","recommendation","Generic catch clause.","/Form1.cs","573","13","579","13"
"Missed 'readonly' opportunity","A private field where all assignments occur as part of the declaration or in a constructor in the same class can be 'readonly'.","recommendation","Field 'monitorTimer' can be 'readonly'.","/Form1.cs","24","44","24","55"
"Missed 'readonly' opportunity","A private field where all assignments occur as part of the declaration or in a constructor in the same class can be 'readonly'.","recommendation","Field 'lastDataStoreValues' can be 'readonly'.","/Form1.cs","29","26","29","44"
"Missed 'readonly' opportunity","A private field where all assignments occur as part of the declaration or in a constructor in the same class can be 'readonly'.","recommendation","Field 'serialPort' can be 'readonly'.","/Form1.cs","18","28","18","37"
"Missed 'readonly' opportunity","A private field where all assignments occur as part of the declaration or in a constructor in the same class can be 'readonly'.","recommendation","Field 'random' can be 'readonly'.","/Form1.cs","23","24","23","29"
"Missed 'readonly' opportunity","A private field where all assignments occur as part of the declaration or in a constructor in the same class can be 'readonly'.","recommendation","Field 'holdingRegisters' can be 'readonly'.","/Form1.cs","28","26","28","41"
"Missed 'readonly' opportunity","A private field where all assignments occur as part of the declaration or in a constructor in the same class can be 'readonly'.","recommendation","Field 'originalSeriesColors' can be 'readonly'.","/Form1.cs","35","58","35","77"
"Missed 'readonly' opportunity","A private field where all assignments occur as part of the declaration or in a constructor in the same class can be 'readonly'.","recommendation","Field 'seriesVisibility' can be 'readonly'.","/Form1.cs","36","42","36","57"
"Missed 'readonly' opportunity","A private field where all assignments occur as part of the declaration or in a constructor in the same class can be 'readonly'.","recommendation","Field 'chartToolTip' can be 'readonly'.","/Form1.cs","140","25","140","36"
"Missed 'readonly' opportunity","A private field where all assignments occur as part of the declaration or in a constructor in the same class can be 'readonly'.","recommendation","Field 'defaultInstance' can be 'readonly'.","/Properties/Settings.Designer.cs","20","33","20","47"
"Missed ternary opportunity","An 'if' statement where both branches either (a) return or (b) write to the same variable can often be expressed more clearly using the '?' operator.","recommendation","Both branches of this 'if' statement write to the same variable - consider using '?' to express intent better.","/Form1.cs","251","25","260","25"
"Missed 'using' opportunity","C# provides a 'using' statement as a better alternative to manual resource disposal in a finally block - it makes sense to use it.","recommendation","This variable is manually [[""disposed""|""relative:///Form1.cs:501:17:501:39""]] in a [[""finally block""|""relative:///Form1.cs:500:13:518:13""]] - consider a C# using statement as a preferable resource management technique.","/Form1.cs","19","37","19","48"
"Missed 'using' opportunity","C# provides a 'using' statement as a better alternative to manual resource disposal in a finally block - it makes sense to use it.","recommendation","This variable is manually [[""disposed""|""relative:///Form1.cs:510:17:510:50""]] in a [[""finally block""|""relative:///Form1.cs:500:13:518:13""]] - consider a C# using statement as a preferable resource management technique.","/Form1.cs","21","41","21","63"
"Cast to same type","A cast to the same type as the original expression is always redundant.","warning","This cast is redundant because the expression already has type AnchorStyles.","/Form1.Designer.cs","112","35","113","55"
"Cast to same type","A cast to the same type as the original expression is always redundant.","warning","This cast is redundant because the expression already has type AnchorStyles.","/Form1.Designer.cs","432","45","433","55"
"Missed opportunity to use Where","The intent of a foreach loop that implicitly filters its target sequence can often be better expressed using LINQ's 'Where' method.","recommendation","This foreach loop [[""implicitly filters its target sequence""|""relative:///Form1.cs:170:21:170:94""]] - consider filtering the sequence explicitly using '.Where(...)'.","/Form1.cs","168","13","186","13"
"Missed opportunity to use Where","The intent of a foreach loop that implicitly filters its target sequence can often be better expressed using LINQ's 'Where' method.","recommendation","This foreach loop [[""implicitly filters its target sequence""|""relative:///Form1.cs:333:21:333:49""]] - consider filtering the sequence explicitly using '.Where(...)'.","/Form1.cs","331","13","342","13"
